participant_id,model,sim_acc,ai_acc,hu_acc,ai_auc,hu_auc,epoch
22,resnet152,0.82,0.775,0.74,0.8934767025089606,0.8679833679833681,1
22,vgg19,0.88,0.84,0.74,0.8612351190476191,0.8679833679833681,1
23,alexnet,0.8040201005025126,0.7286432160804021,0.7738693467336684,0.8319284802043423,0.741991341991342,1
23,densenet161,0.8442211055276382,0.8492462311557789,0.7738693467336684,0.8790927021696251,0.741991341991342,1
23,googlenet,0.8140703517587939,0.7688442211055276,0.7738693467336684,0.8681443591929524,0.741991341991342,1
23,resnet152,0.8542713567839196,0.8190954773869347,0.7738693467336684,0.8801976823449217,0.741991341991342,1
23,vgg19,0.864321608040201,0.8391959798994975,0.7738693467336684,0.8937125748502994,0.741991341991342,1
24,alexnet,0.815,0.655,0.74,0.8230999004314636,0.886889293139293,1
24,densenet161,0.85,0.76,0.74,0.8585526315789472,0.886889293139293,1
24,googlenet,0.865,0.735,0.74,0.8866640996021049,0.886889293139293,1
24,resnet152,0.815,0.71,0.74,0.8254006799417193,0.886889293139293,1
24,vgg19,0.855,0.77,0.74,0.849802371541502,0.886889293139293,1
25,alexnet,0.875,0.65,0.86,0.7985714285714286,0.8774916943521596,1
25,densenet161,0.9,0.74,0.86,0.899948024948025,0.8774916943521596,1
25,googlenet,0.875,0.74,0.86,0.8000259875259875,0.8774916943521596,1
25,resnet152,0.885,0.735,0.86,0.8467462456680785,0.8774916943521596,1
25,vgg19,0.88,0.81,0.86,0.8294346978557504,0.8774916943521596,1
26,alexnet,0.875,0.66,0.86,0.838680926916221,0.9507890365448505,1
26,densenet161,0.905,0.76,0.86,0.8854166666666666,0.9507890365448505,1
26,googlenet,0.915,0.74,0.86,0.8540800415800416,0.9507890365448505,1
26,resnet152,0.915,0.795,0.86,0.8665439484583526,0.9507890365448505,1
26,vgg19,0.925,0.78,0.86,0.8805361305361306,0.9507890365448505,1
27,alexnet,0.9,0.665,0.895,0.8066434743575357,0.8628624634211227,1
27,densenet161,0.935,0.77,0.895,0.8776115189158668,0.8628624634211227,1
27,googlenet,0.925,0.75,0.895,0.8409333333333334,0.8628624634211227,1
27,resnet152,0.915,0.71,0.895,0.8532054395337542,0.8628624634211227,1
27,vgg19,0.93,0.8,0.895,0.849375,0.8628624634211227,1
28,alexnet,0.85,0.7,0.76,0.7771428571428572,0.8856907894736842,1
28,densenet161,0.855,0.79,0.76,0.854882459312839,0.8856907894736842,1
28,googlenet,0.845,0.745,0.76,0.8514278194499275,0.8856907894736842,1
28,resnet152,0.855,0.79,0.76,0.8386075949367089,0.8856907894736842,1
28,vgg19,0.88,0.825,0.76,0.8510822510822511,0.8856907894736842,1
29,alexnet,0.805,0.7,0.735,0.8233333333333334,0.7999614940315749,1
29,densenet161,0.865,0.83,0.735,0.8867824238128986,0.7999614940315749,1
29,googlenet,0.84,0.77,0.735,0.8787408243929983,0.7999614940315749,1
29,resnet152,0.825,0.755,0.735,0.8897148263278821,0.7999614940315749,1
29,vgg19,0.85,0.805,0.735,0.9022137283006847,0.7999614940315749,1
30,alexnet,0.87,0.705,0.84,0.8557518932564011,0.8987165178571429,1
30,densenet161,0.88,0.775,0.84,0.8781362007168458,0.8987165178571429,1
30,googlenet,0.885,0.725,0.84,0.9103448275862069,0.8987165178571429,1
30,resnet152,0.885,0.8,0.84,0.8734374999999999,0.8987165178571429,1
30,vgg19,0.91,0.805,0.84,0.9238732282210542,0.8987165178571429,1
31,alexnet,0.795,0.675,0.745,0.8262108262108263,0.8549809185419134,1
31,densenet161,0.855,0.77,0.745,0.8929983060417843,0.8549809185419134,1
31,googlenet,0.835,0.76,0.745,0.8441611842105264,0.8549809185419134,1
31,resnet152,0.845,0.765,0.745,0.8841607565011821,0.8549809185419134,1
31,vgg19,0.88,0.825,0.745,0.8592207792207792,0.8549809185419134,1
32,alexnet,0.855,0.68,0.81,0.7980238970588235,0.9045646523716698,1
32,densenet161,0.895,0.815,0.81,0.9039960205604377,0.9045646523716698,1
32,googlenet,0.9,0.785,0.81,0.8714264553399497,0.9045646523716698,1
32,resnet152,0.885,0.815,0.81,0.906980600232134,0.9045646523716698,1
32,vgg19,0.87,0.8,0.81,0.9281249999999999,0.9045646523716698,1
33,alexnet,0.84,0.715,0.83,0.8131517605201815,0.8819985825655563,1
33,densenet161,0.865,0.75,0.83,0.8578666666666668,0.8819985825655563,1
33,googlenet,0.88,0.765,0.83,0.8050340703657349,0.8819985825655563,1
33,resnet152,0.84,0.75,0.83,0.8472000000000001,0.8819985825655563,1
33,vgg19,0.85,0.78,0.83,0.8977272727272727,0.8819985825655563,1
34,alexnet,0.84,0.745,0.78,0.8432688511646269,0.7765151515151515,1
34,densenet161,0.84,0.78,0.78,0.8968531468531469,0.7765151515151515,1
34,googlenet,0.86,0.77,0.78,0.8838226990400901,0.7765151515151515,1
34,resnet152,0.85,0.81,0.78,0.8905133203378817,0.7765151515151515,1
34,vgg19,0.87,0.81,0.78,0.8919753086419753,0.7765151515151515,1
35,alexnet,0.88,0.64,0.875,0.8243272569444444,0.9001142857142856,1
35,densenet161,0.895,0.75,0.875,0.8678666666666666,0.9001142857142856,1
35,googlenet,0.89,0.72,0.875,0.8781001984126985,0.9001142857142856,1
35,resnet152,0.885,0.74,0.875,0.845504158004158,0.9001142857142856,1
35,vgg19,0.91,0.755,0.875,0.9199891877280713,0.9001142857142856,1
36,alexnet,0.87,0.67,0.8,0.7767978290366349,0.928203125,1
36,densenet161,0.89,0.785,0.8,0.8329136424233446,0.928203125,1
36,googlenet,0.89,0.76,0.8,0.8397752192982456,0.928203125,1
36,resnet152,0.86,0.76,0.8,0.9006304824561403,0.928203125,1
36,vgg19,0.88,0.805,0.8,0.8713170887083931,0.928203125,1
37,alexnet,0.835,0.69,0.75,0.8265544647031324,0.8248,1
37,densenet161,0.875,0.75,0.75,0.8893333333333333,0.8248,1
37,googlenet,0.83,0.75,0.75,0.8037333333333333,0.8248,1
37,resnet152,0.845,0.725,0.75,0.8660815047021944,0.8248,1
37,vgg19,0.845,0.73,0.75,0.8626331811263318,0.8248,1
38,alexnet,0.875,0.725,0.875,0.8917868338557995,0.8762285714285714,1
38,densenet161,0.91,0.785,0.875,0.8760183676492371,0.8762285714285714,1
38,googlenet,0.885,0.745,0.875,0.9011712067377285,0.8762285714285714,1
38,resnet152,0.92,0.775,0.875,0.9215770609318996,0.8762285714285714,1
38,vgg19,0.91,0.81,0.875,0.8945743989603638,0.8762285714285714,1
39,alexnet,0.81,0.7,0.8,0.8503571428571428,0.738046875,1
39,densenet161,0.83,0.77,0.8,0.8346979107848672,0.738046875,1
39,googlenet,0.83,0.755,0.8,0.8616029193134208,0.738046875,1
39,resnet152,0.815,0.785,0.8,0.8863872018960154,0.738046875,1
39,vgg19,0.87,0.825,0.8,0.864935064935065,0.738046875,1
40,alexnet,0.885,0.69,0.865,0.7900888265544648,0.8280882038107472,1
40,densenet161,0.88,0.705,0.865,0.9088832792402933,0.8280882038107472,1
40,googlenet,0.875,0.69,0.865,0.8570593735390368,0.8280882038107472,1
40,resnet152,0.87,0.69,0.865,0.8474754558204769,0.8280882038107472,1
40,vgg19,0.91,0.81,0.865,0.8310591293047432,0.8280882038107472,1
41,alexnet,0.785,0.695,0.72,0.8580021228918504,0.872953869047619,1
